note_source note,title,identifier_PPNanalog,recordIdentifier,classification,dateIssued,accessCondition_use and reproduction,accessCondition_restriction on access,form_material,form_form,extent,coordinates,identifier_ark,subject,canton,documentType,fileUrl,iiifUrl,roleTerm_code,namePart_family,namePart_given,displayForm_personal,topic,state,geographic
"Ein Panoramablick über die Altstadt von Zug. Von Links sieht man die sich noch im Bau befindliche neue Pfarrkirche St. Michael, den Huwilerturm, die Burchgabchturnhalle, die Burg Zug, den Pulverturm, die St. Oswald Kirche und das Burgbachschulhaus. Im Hintergrund sieht man noch die Rigi.",Blick über die Altstadt von Zug,TF_GP_00874,BibZug_TD_23_00874,Bibliothek Zug#Glasplatten,1898 - 1902,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1652620568, 8.51669158198",ark:/63274/bz16w3w,Dokumentation,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00874/800/0/TD_23_00874.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00874/files/images/TD_23_00874.jpg'}],,,,,,,
"Den Kolinplatz bei der Ecke zur Grabenstrasse, mit dem Haus Kolinplatz 17 zentral im Vordergrund im Bild. Im Hintergrund sieht man das architekturhistorisch und typologisch sehr bedeutende Hotel Ochsen. In der Grabenstrasse sieht man die Schienen der Zuger Berg- und Strassenbahn noch nicht.","Kolinplatz bei der Ecke zur Grabenstrasse, das Haus Kolinplatz 17 zentral im Bild.",TF_GP_00875,BibZug_TD_23_00875,Bibliothek Zug#Glasplatten,1901 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1659860196, 8.51562942718",ark:/63274/bz1330w,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00875/800/0/TD_23_00875.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00875/files/images/TD_23_00875.jpg'}],,,,,,,
"Der Kolinplatz mit dem rund 52 m hohen Zytturm mit der alten Fassadenmalerei und dem alten Zollhaus, der ehemalige Stadtkanzlei, von der Ägeristrasse aus gesehen. Die Tramschienen der Zuger Berg- und Strassenbahn sind noch nicht zu sehen.",Kolinplatz mit dem Zytturm und dem Zollhaus von der Ägeristrasse aus gesehen.,TF_GP_00876,BibZug_TD_23_00876,Bibliothek Zug#Glasplatten,1901 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661191402, 8.51518418048",ark:/63274/bz1zc8v,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00876/800/0/TD_23_00876.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00876/files/images/TD_23_00876.jpg'}],,,,,,,
Die erste Vogelvoliere vor dem Gasthof Löwen beim Landsgemeindeplatz in Zug. Im Hintergrund erkennt man noch die Rigi.,Vogelvoliere vor dem Gasthof Löwen beim Landsgemeindeplatz,TF_GP_00877,BibZug_TD_23_00877,Bibliothek Zug#Glasplatten,1891 - 1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1673500337, 8.5147469804",ark:/63274/bz1tk5h,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00877/800/0/TD_23_00877.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00877/files/images/TD_23_00877.jpg'}],,,,,,,
Der Kolinplatz mit mehreren Kutschen vor dem Hotel Ochsen welches architekturhistorisch und typologisch sehr bedeutend ist. Die Tramschienen der Elektirschen Strassenbahn nach Ägeri und Menzingen ist noch nicht zu sehen.,Kolinplatz mit dem  Hotel Ochsen,TF_GP_00878,BibZug_TD_23_00878,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz1pw3q,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00878/800/0/TD_23_00878.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00878/files/images/TD_23_00878.jpg'}],,,,,,,
Der Postplatz mit dem 1902 fertiggestelltem Postgebäude und dem Regierungsgebäude vom Guggiberg aus gesehen. Im Vordergrund sind die Bahngleise der Strecke nach Arth-Goldau zu sehen.,Der Postplatz mit dem Postgebäude und dem Regierungsgebäude vom Guggiberg aus gesehen,TF_GP_00880,BibZug_TD_23_00880,Bibliothek Zug#Glasplatten,1902 - 1912,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1679226173, 8.51568575358",ark:/63274/bz1fc78,Eisenbahn,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00880/800/0/TD_23_00880.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00880/files/images/TD_23_00880.jpg'}],,,,,,,
"Der Kolinplatz mit dem rund 52 m hohen Zytturm mit der alten Fassadenmalerei und dem alten Zollhaus, der ehemalige Stadtkanzlei, von der Ägeristrasse aus gesehen. Die Tramschienen der Zuger Berg- und Strassenbahn sind noch nicht zu sehen.",Kolinplatz mit dem Zytturm und dem Zollhaus von der Ägeristrasse aus gesehen.,TF_GP_00881,BibZug_TD_23_00881,Bibliothek Zug#Glasplatten,1901 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661191402, 8.51518418048",ark:/63274/bz19k6r,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00881/800/0/TD_23_00881.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00881/files/images/TD_23_00881.jpg'}],,,,,,,
"Der Kolinplatz mit dem rund 52 m hohen Zytturm mit der alten Fassadenmalerei und dem alten Zollhaus, der ehemaligen Stadtkanzlei, von der Ägeristrasse ausgesehen. Die Tramschienen der Zuger Berg- und Strassenbahn sind noch nicht zu sehen.",Kolinplatz mit dem Zytturm und dem Zollhaus vom Hotel Ochsen aus gesehen.,TF_GP_00883,BibZug_TD_23_00883,Bibliothek Zug#Glasplatten,1901 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661191402, 8.51518418048",ark:/63274/bz1231z,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00883/800/0/TD_23_00883.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00883/files/images/TD_23_00883.jpg'}],,,,,,,
"Eine grosse Menschenmenge auf dem Kolinplatz. Im Himtergrund sieht man den rund 52 Meter hohen Zytturm mit der alten Fassadenmalerei sowie das alte Zollhaus, der ehemaligen Stadtkanzlei. Die Tramschienen der Zuger Berg- und Strassenbahn sind noch nicht zu sehen.",Kolinplatz mit dem Zytturm und dem Zollhaus vom Hotel Ochsen aus gesehen.,TF_GP_00884,BibZug_TD_23_00884,Bibliothek Zug#Glasplatten,1901 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661191402, 8.51518418048",ark:/63274/bz1xc73,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00884/800/0/TD_23_00884.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00884/files/images/TD_23_00884.jpg'}],,,,,,,
"Eine Aufnahme der Zeughausgasse beim Hirschenplatz mit dem Blick Richtung Postplatz. Im Zentrum steht das das Haus  ""Kronen"", hierbei handelt es sich um ein Ende des 18. Jahrhunderts neu errichtetes Stadthaus als Ersatzbau für einen während des Geissweidbrandes zerstörten Vorgängerbaus.",Blick von Zeughausgasse beim Hirschenplatz Richtung Postplatz,TF_GP_00885,BibZug_TD_23_00885,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1670142741, 8.51607732177",ark:/63274/bz1sp59,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00885/800/0/TD_23_00885.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00885/files/images/TD_23_00885.jpg'}],,,,,,,
"Mehrere Passanten auf dem Kolinplatz und der Neugasse. Im Vordergrund steht das Haus Wadsack, ein prägnanter barocker Eckbau bei der Einmündung der Neugasse in den Kolinplatz.",Kolinplatz mit dem Blick zur Neugasse hin,TF_GP_00886,BibZug_TD_23_00886,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661508227, 8.51544029712",ark:/63274/bz1nw2z,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00886/800/0/TD_23_00886.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00886/files/images/TD_23_00886.jpg'}],,,,,,,
Der Kolinplatz mit dem Brunnen und dem Hotel Ochsen sowie dem Kolinplatz 15 mit dem Wandgemälde der Kappeler Milchsuppe im Zentrum. Aufgenommen sehr wahrscheinlich aus dem Grosshaus oder dem Polizeiposten heraus. In der Strasse fehlen die Tramschienen der Zuger Berg- und Strassenbahn.,Kolinplatz mit dem Brunnen und dem Hotel Ochsen,TF_GP_00887,BibZug_TD_23_00887,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1660879096, 8.51584531069",ark:/63274/bz1j60h,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00887/800/0/TD_23_00887.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00887/files/images/TD_23_00887.jpg'}],,,,,,,
"Eine grosse Gruppe Menschen, vermutlich Kirchgänger bei St. Michael, auf dem Weg in die Stadt vor dem Pulverturm. Die Aufnahme wurde vom Turm der St. Michaels Kirche aus gemacht. Im Hintergrund sieht man die Kirche St. Oswald sowie den Zugersee.",Menschen auf dem Weg in die Stadt vor dem Pulverturm,TF_GP_00889,BibZug_TD_23_00889,Bibliothek Zug#Glasplatten,1907 - 1917,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1640500332, 8.51646624208",ark:/63274/bz18p54,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00889/800/0/TD_23_00889.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00889/files/images/TD_23_00889.jpg'}],,,,,,,
"Mehrere Passanten auf dem geschmückten Kolinplatz und der Neugasse, eventuell für einen Kinder- und Jugendumzug oder Feierlichkeiten für den Bundesfeiertag. Die Schienen der Zuger Berg- und Strassenbahn sind in der Strasse noch nicht zu sehen.",Kolinplatz mit dem Blick zur Neugasse hin,TF_GP_00890,BibZug_TD_23_00890,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661508227, 8.51544029712",ark:/63274/bz14w36,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00890/800/0/TD_23_00890.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00890/files/images/TD_23_00890.jpg'}],,,,,,,
"Der Kolinplatz von der Grabenstrasse aus gesehen. Das Zollhaus und der Zytturm sind im Vordergrund, ein Wagen der Tramlinie der Zuger Berg- und Strassenbahn auf den Zugerberg sowie das Grosshaus sind im Hintergrund zu sehen.",Kolinplatz mit einem Tramwagen von der Grabensrasse aus gesehen,TF_GP_00891,BibZug_TD_23_00891,Bibliothek Zug#Glasplatten,1907 - 1917,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1661654112, 8.5154174983",ark:/63274/bz1161r,Tram,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00891/800/0/TD_23_00891.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00891/files/images/TD_23_00891.jpg'}],,,,,,,
"Eine grosse Menschengruppe, eventuell eine Fastnachtveranstaltung, auf dem Postplatz. Im Hintergrund steht die zwischen 1899 und 1902 errichtete ehemalige Zuger Hauptpost.",Eine grosse Menschenmenge auf dem Postplatz,TF_GP_00892,BibZug_TD_23_00892,Bibliothek Zug#Glasplatten,1902 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Volkskunde,9x12,"47.1679014171, 8.51616583465",ark:/63274/bz1wc85,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00892/800/0/TD_23_00892.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00892/files/images/TD_23_00892.jpg'}],,,,,,,
Westliche Ecke des Postplatzes und die Bahnhofstrasse von Zug. Die Schienen der Tramlinie der Zuger Berg- und Strassenbahn sind noch nicht zu sehen.,Nordwest Seite des Postplatz,TF_GP_00893,BibZug_TD_23_00893,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1682187061, 8.51547918913",ark:/63274/bz1rp6c,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00893/800/0/TD_23_00893.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00893/files/images/TD_23_00893.jpg'}],,,,,,,
Die zwischen 1899 und 1902 errichtete ehemalige Zuger Hauptpost. Das Gebäude ist ein typischer Vertreter der um die Jahrhundertwende in zahlreichen Schweizer Städten errichteten repräsentativen Bundesbauten. Im Vordergrund ist noch die ehemalige Apotheke Wyss zu sehen.,Der Postplatz Zug im Winter,TF_GP_00894,BibZug_TD_23_00894,Bibliothek Zug#Glasplatten,1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1678357708, 8.51620875",ark:/63274/bz1mw31,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00894/800/0/TD_23_00894.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00894/files/images/TD_23_00894.jpg'}],,,,,,,
"Eine grosse Menschengruppe, eventuell eine Fastnachtveranstaltung, auf dem Postplatz. Im Hintergrund steht die zwischen 1899 und 1902 errichtete ehemalige Zuger Hauptpost.",Eine grosse Menschenmenge auf dem Postplatz,TF_GP_00895,BibZug_TD_23_00895,Bibliothek Zug#Glasplatten,1902 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Volkskunde,9x12,"47.1679014171, 8.51616583465",ark:/63274/bz1h605,Volkskunde,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00895/800/0/TD_23_00895.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00895/files/images/TD_23_00895.jpg'}],,,,,,,
Der Kolinplatz mit dem Hotel Ochsen. Die Schienen der Tramlinie der Elektrischen Strassenbahn nach Ägeri und Menzingen sind noch nicht in der Strasse zu sehen.,Kolinplatz mit dem Hotel Ochsen,TF_GP_00896,BibZug_TD_23_00896,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz1cc9d,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00896/800/0/TD_23_00896.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00896/files/images/TD_23_00896.jpg'}],,,,,,,
"Der Kolinplatz von Zug, im Vordergrund ist ein grosser schwer beladener Wagen zu sehen. Die Schienen der Tramlinie der Elektrischen Strassenbahn nach Ägeri und Menzingen sind noch nicht in der Strasse zu sehen.",Kolinplatz von Zug,TF_GP_00897,BibZug_TD_23_00897,Bibliothek Zug#Glasplatten,1895 - 1905,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz17p5s,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00897/800/0/TD_23_00897.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00897/files/images/TD_23_00897.jpg'}],,,,,,,
"Der Kolinplatz im Winter mit dem Hotel Ochsen im Hintergrund. Das Hotel ist architekturhistorisch und typologisch sehr bedeutend, sowie für die Orts- und Gewerbegeschichte sehr wichtig.",Kolinplatz Zug mit dem Hotel Ochsen im Winter,TF_GP_00898,BibZug_TD_23_00898,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz13w48,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00898/800/0/TD_23_00898.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00898/files/images/TD_23_00898.jpg'}],,,,,,,
"Das Hotel Ochsen in Zug beim Kolinplatz. Das Hotel ist architekturhistorisch und typologisch sehr bedeutend, sowie für die Orts- und Gewerbegeschichte sehr wichtig.",Kolinplatz Zug mit dem Hotel Ochsen im Winter,TF_GP_00899,BibZug_TD_23_00899,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz10600,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00899/800/0/TD_23_00899.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00899/files/images/TD_23_00899.jpg'}],,,,,,,
"Das Hotel Ochsen in Zug beim Kolinplatz. Das Hotel ist architekturhistorisch und typologisch sehr bedeutend, sowie für die Orts- und Gewerbegeschichte sehr wichtig. Die Schienen der Tramlinie der Elektrischen Strassenbahn nach Ägeri und Menzingen sind noch nicht in der Strasse zu sehen.",Kolinplatz mit dem Hotel Ochsen im Hintergrund,TF_GP_00901,BibZug_TD_23_00901,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz1qp5m,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00901/800/0/TD_23_00901.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00901/files/images/TD_23_00901.jpg'}],,,,,,,
"Das Hotel Ochsen in Zug beim Kolinplatz. Das Hotel ist architekturhistorisch und typologisch sehr bedeutend, sowie für die Orts- und Gewerbegeschichte sehr wichtig. Die Schienen der Tramlinie der Elektrischen Strassenbahn nach Ägeri und Menzingen sind noch nicht in der Strasse zu sehen.",Kolinplatz mit dem Hotel Ochsen im Hintergrund,TF_GP_00902,BibZug_TD_23_00902,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.166073551, 8.51610149599",ark:/63274/bz1m02r,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00902/800/0/TD_23_00902.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00902/files/images/TD_23_00902.jpg'}],,,,,,,
"Ein Einsatz der Feuerwehr beim Kolinplatz, vermutlich beim Bossard Haus. Die Schienen der Tramlinie der Elektrischen Strassenbahn nach Ägeri und Menzingen sind noch nicht in der Strasse zu sehen.",Feuerwehr Einsatz beim Kolinplatz,TF_GP_00903,BibZug_TD_23_00903,Bibliothek Zug#Glasplatten,1900 - 1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1659769018, 8.51593586956",ark:/63274/bz1g60t,Unfall/Katastrophe,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00903/800/0/TD_23_00903.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00903/files/images/TD_23_00903.jpg'}],,,,,,,
"Die Neustadt von Zug, im Vordergrund erkennt man die Brücke der Eisenbahnlinie nach Arth-Goldau, im Hintergrund den Bundesplatz aber noch nicht die Reformierte Kirche von Zug.","Neustadt von Zug, im Vordergrund erkennt man die Brücke der Eisenbahnlinie nach Arth-Goldau",TF_GP_00904,BibZug_TD_23_00904,Bibliothek Zug#Glasplatten,1897 - 1904,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1710833394, 8.51589761375",ark:/63274/bz1bg7c,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00904/800/0/TD_23_00904.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00904/files/images/TD_23_00904.jpg'}],,,,,,,
"Die Neustadt von Zug, im Hintergrund ist die Rückseite des Postgebäudes zu sehen, im Vordergrund die Schanz und der Guggihügel.",Neustadt von Zug mit dem Postgebäude von Hinten,TF_GP_00909,BibZug_TD_23_00909,Bibliothek Zug#Glasplatten,1907 - 1915,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1671227743, 8.51739965083",ark:/63274/bz1pp58,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00909/800/0/TD_23_00909.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00909/files/images/TD_23_00909.jpg'}],,,,,,,
"Schraubendampfer ""Rigi"" während der Fahrt auf dem Zugersee. Das Schiff war von 1904 bis 1959 im Dienst.",Das Kursschiff Rigi 04,TF_GP_00758,BibZug_TD_23_00758,Bibliothek Zug#Glasplatten,1904,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,9x12,"47.1702054447, 8.51317283555",ark:/63274/bz16g6k,Tourismus,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00758/800/0/TD_23_00758.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00758/files/images/TD_23_00758.jpg'}],,,,,,,
"Der Schraubendampfer ""Rigi"" vor dem Landsgemeindeplatz in Zug. Das Schiff war von 1904 bis 1959 im Dienst.",Das Kursschiff Rigi 06,TF_GP_00760,BibZug_TD_23_00760,Bibliothek Zug#Glasplatten,1904,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,9x12,"47.167356264, 8.51382595345",ark:/63274/bz1z01s,Gewerbe,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00760/800/0/TD_23_00760.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00760/files/images/TD_23_00760.jpg'}],,,,,,,
"Der Schraubendampfer ""Rigi"" bei der Fahrt. Das Schiff war von 1904 bis 1959 im Dienst.",Das Kursschiff Rigi 07,TF_GP_00761,BibZug_TD_23_00761,Bibliothek Zug#Glasplatten,1904,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,9x12,"47.1702054447, 8.51317283555",ark:/63274/bz1t608,Verkehr,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00761/800/0/TD_23_00761.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00761/files/images/TD_23_00761.jpg'}],,,,,,,
"Der Schraubendampfer ""Rigi"" beim Alpenquai. Das Schiff war von 1904 bis 1959 im Dienst.",Das Kursschiff Rigi 08,TF_GP_00762,BibZug_TD_23_00762,Bibliothek Zug#Glasplatten,1904,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,9x12,"47.1702054447, 8.51317283555",ark:/63274/bz1pg6d,Verkehr,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00762/800/0/TD_23_00762.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00762/files/images/TD_23_00762.jpg'}],,,,,,,
"Eine Gruppe Menschen neben der Tramline der Zuger Berg- und Strassenbahn auf dem Weg in die Stadt. Im Vordergrund sieht man den Pulverturm, das Zeughaus und die Villa Rosenhof. Im Hintergrund sieht man vor dem See das Theater-Casino von Zug.","Südliche Altstadt von Zug, von der Kirche St. Michael aus gesehen",TF_GP_00908,BibZug_TD_23_00908,Bibliothek Zug#Glasplatten,1908 - 1918,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1639096128, 8.51645551328",ark:/63274/bz1tg8m,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00908/800/0/TD_23_00908.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00908/files/images/TD_23_00908.jpg'}],,,,,,,
